iter	Passed	Remaining
676	28943	13808
677	28988	13767
678	29032	13725
679	29075	13682
680	29106	13634
681	29152	13592
682	29190	13548
683	29231	13504
684	29257	13454
685	29296	13409
686	29335	13365
687	29369	13318
688	29399	13270
689	29437	13225
690	29488	13186
691	29528	13142
692	29567	13098
693	29606	13054
694	29630	13003
695	29655	12953
696	29689	12906
697	29718	12858
698	29758	12814
699	29782	12763
700	29822	12720
701	29861	12676
702	29886	12626
703	29929	12584
704	29953	12533
705	29993	12490
706	30013	12438
707	30057	12396
708	30082	12346
709	30118	12301
710	30138	12250
711	30167	12202
712	30207	12159
713	30230	12109
714	30262	12062
715	30302	12019
716	30324	11968
717	30350	11920
718	30386	11875
719	30421	11830
720	30462	11787
721	30494	11741
722	30536	11699
723	30559	11649
724	30585	11601
725	30615	11554
726	30652	11510
727	30676	11461
728	30701	11413
729	30731	11366
730	30767	11322
731	30797	11275
732	30844	11235
733	30886	11193
734	30914	11146
735	30938	11097
736	30980	11055
737	31010	11009
738	31045	10964
739	31068	10915
740	31109	10873
741	31154	10832
742	31180	10785
743	31203	10736
744	31226	10688
745	31249	10639
746	31277	10593
747	31315	10550
748	31339	10502
749	31362	10454
750	31385	10406
751	31412	10359
752	31451	10316
753	31474	10268
754	31497	10220
755	31520	10173
756	31560	10131
757	31583	10083
758	31620	10040
759	31647	9993
760	31677	9948
761	31703	9902
762	31725	9854
763	31749	9807
764	31789	9765
765	31826	9722
766	31855	9677
767	31878	9629
768	31919	9588
769	31940	9540
770	31963	9493
771	31987	9447
772	32026	9404
773	32068	9363
774	32109	9322
775	32133	9275
776	32155	9228
777	32173	9180
778	32200	9135
779	32222	9088
780	32245	9041
781	32267	8995
782	32291	8949
783	32330	8907
784	32372	8866
785	32420	8826
786	32470	8788
787	32494	8742
788	32517	8696
789	32541	8650
790	32565	8604
791	32602	8562
792	32640	8520
793	32664	8474
794	32692	8430
795	32717	8384
796	32743	8339
797	32768	8294
798	32805	8252
799	32828	8207
800	32869	8166
801	32903	8123
802	32941	8081
803	32964	8036
804	32998	7993
805	33021	7948
806	33057	7905
807	33079	7860
808	33111	7817
809	33141	7773
810	33185	7733
811	33209	7688
812	33238	7645
813	33260	7600
814	33287	7556
815	33311	7511
816	33336	7467
817	33358	7422
818	33397	7380
819	33437	7339
820	33475	7298
821	33513	7257
822	33552	7215
823	33599	7176
824	33637	7135
825	33669	7092
